Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Barnet,2017,65.0,0.268,2.297,6.126,4.594,11.485,3.063,6.891,4.594,1.723,13.783,9.188,2.68,12.251,16.08,2.297,2.68,17.1,4.23,54.7,7.63,3.09,7.83,7.47,13.7,15.75,45.1,20.4,22.7,15.7,84.3,63.77858211,114.9295078
Bexley,2017,58.0,1.701,6.122,9.524,6.803,10.884,6.803,6.122,3.401,1.361,6.803,12.245,4.082,9.524,10.884,1.701,2.041,15.2,5.18,49.0,7.45,3.16,7.82,7.46,10.01,14.64,40.8,18.5,21.7,14.3,85.7,25.09273225,37.20141485
Brent,2017,85.0,0.998,6.387,6.387,9.581,10.379,7.186,7.186,3.992,1.198,7.984,9.581,2.395,7.984,15.17,1.996,1.597,27.3,4.57,49.0,7.59,2.69,7.68,7.67,15.65,12.41,77.0,19.5,22.5,19.2,80.8,44.46925106,77.20465093
Bromley,2017,67.0,0.926,2.315,7.407,3.704,12.037,3.241,6.481,4.167,5.556,9.259,9.259,2.778,10.185,16.667,3.704,2.315,9.2,5.98,49.8,7.34,3.29,7.65,7.6,10.83,17.23,22.0,19.6,22.4,13.8,86.2,57.71372242,97.02661417
Camden,2017,136.0,0.419,0.978,2.235,2.235,5.587,2.793,8.38,11.732,3.352,21.788,10.056,3.352,9.218,12.011,3.073,2.793,47.7,0.6,48.3,7.35,3.38,7.71,7.56,19.4,17.72,114.5,21.0,24.1,12.9,87.1,107.595577,205.8748823
Croydon,2017,76.0,0.815,1.833,6.517,4.888,13.035,4.073,6.517,5.703,3.666,9.776,7.332,8.147,9.776,13.849,1.629,2.444,18.2,6.63,45.0,7.61,3.03,7.86,7.68,10.73,14.79,44.7,19.4,21.4,20.0,80.0,75.72939758,127.7759691
Ealing,2017,81.0,0.371,8.163,5.937,8.163,9.647,7.421,8.163,5.195,0.928,10.39,11.132,2.968,7.421,9.647,2.226,2.226,23.8,5.56,48.7,7.35,3.35,7.7,7.42,14.88,13.56,62.5,19.7,22.1,12.6,87.4,71.63800398,122.7906189
Enfield,2017,74.0,0.842,4.677,7.484,7.484,12.161,6.548,6.548,3.274,1.403,6.548,10.29,3.274,9.355,15.903,2.105,2.105,15.3,8.37,46.2,7.23,2.96,7.81,7.29,13.01,13.41,41.5,19.1,22.0,19.1,80.9,27.87315031,46.99739587
Greenwich,2017,86.0,1.521,2.737,6.083,3.041,10.949,6.083,8.516,3.65,0.852,6.083,7.299,5.474,13.382,17.032,4.866,2.433,22.0,4.82,45.9,7.27,3.37,7.68,7.28,12.67,15.5,59.7,18.5,20.7,24.8,75.2,37.51966781,61.19510471
Hackney,2017,110.0,0.508,2.117,3.387,2.54,6.774,2.54,8.467,11.854,2.54,21.169,7.621,4.234,8.467,12.701,2.964,2.117,57.1,6.95,49.4,7.1,3.48,7.47,7.26,15.22,15.23,145.7,18.5,21.2,15.5,84.5,37.82226435,68.66427456
Hammersmith and Fulham,2017,115.0,0.446,1.3,2.6,8.172,11.144,2.6,8.172,14.116,1.3,13.373,11.887,4.458,5.944,8.915,3.715,1.857,50.5,4.42,50.9,7.43,3.49,7.79,7.47,19.08,17.95,110.9,18.3,22.0,15.1,84.9,69.4905001,130.2898716
Haringey,2017,110.0,0.571,4.993,4.993,5.706,12.839,5.706,7.133,4.28,0.999,9.986,6.419,4.28,11.412,11.412,6.419,2.853,36.4,5.95,46.5,7.38,3.01,7.67,7.56,16.08,14.9,95.4,19.5,22.5,16.6,83.4,21.76010438,39.29380378
Harrow,2017,54.0,0.685,2.74,6.849,4.795,10.959,3.425,6.164,6.849,2.055,15.068,8.219,2.74,10.959,13.699,2.397,2.397,17.8,4.92,49.7,7.72,2.47,7.71,7.64,14.61,15.33,49.9,21.2,23.3,14.3,85.7,44.11392838,73.4471559
Havering,2017,71.0,0.96,3.601,9.604,6.002,12.005,6.002,7.203,2.701,2.701,4.802,10.804,2.701,9.604,16.807,2.401,2.101,8.9,3.09,47.5,7.44,2.81,7.9,7.53,10.61,14.79,22.8,18.5,21.6,19.1,80.9,22.82331974,34.75695573
Hillingdon,2017,88.0,0.791,4.216,4.216,6.324,7.378,17.391,8.432,4.216,1.186,8.959,15.81,3.689,7.378,7.905,0.922,1.186,9.4,2.5,47.1,7.36,3.37,7.94,7.68,13.13,13.68,26.5,19.7,21.6,12.9,87.1,71.4734976,115.7815224
Hounslow,2017,89.0,0.554,1.847,2.463,6.773,6.773,24.631,5.542,12.931,1.539,8.621,9.852,2.155,4.926,8.005,2.155,1.232,17.6,3.55,48.0,7.91,2.79,8.04,7.96,11.95,13.89,49.1,18.9,21.5,10.0,90.0,57.50470542,95.69743459
Islington,2017,133.0,0.412,1.374,2.289,2.06,6.41,2.289,7.784,14.194,5.495,24.267,13.278,2.289,4.121,8.242,2.747,2.747,69.0,3.72,45.6,7.31,3.26,7.44,7.38,16.24,18.46,158.4,18.9,21.0,8.2,91.8,43.41394161,81.03596251
Kensington and Chelsea,2017,133.0,0.446,1.114,1.857,1.857,16.345,1.857,13.373,11.887,2.229,13.373,8.172,2.6,5.201,11.887,4.458,3.343,70.5,6.09,55.0,7.52,3.29,7.74,7.52,29.15,21.29,130.3,22.1,23.8,14.2,85.8,52.0621796,107.209889
